service,unit_basis,rate_cents,daily_cap
Inpatient Ophthalmic Transport Service,per_item,4800,
Inpatient Palliative Isolation Room Occupancy,per_night,179600,
Inpatient Palliative Specimen Analysis,per_item,29725,4
Inpatient Renal Radiotherapy Fraction,per_procedure,455300,
Inpatient Vascular Diagnostic Imaging,per_item,12725,
Intensive Gastrointestinal Isolation Room Occupancy,per_night,160725,
Intensive Geriatric Nutritional Support,per_unit_dispensed,4275,
Intensive Ophthalmic Case Conference,per_hour,21875,
Intermittent Dermatologic Transfusion Service,per_procedure,243150,
Intermittent Neurological Nutritional Support,per_day,50275,
Intermittent Pulmonary Rehabilitation Programme,per_visit,13450,
Intermittent Rheumatologic Diagnostic Imaging,per_procedure,197700,
Outpatient Immunologic Consultation,per_procedure,279225,
Outpatient Metabolic Radiotherapy Fraction,per_item,22775,
Postoperative Metabolic Critical Care Occupancy,per_night,59700,
Postoperative Obstetric Isolation Room Occupancy,per_day,43525,
Postoperative Ophthalmic Radiotherapy Fraction,per_procedure,413325,
Postoperative Pulmonary Wound Care,per_visit,18050,
Preoperative Endocrine Physiotherapy Session,per_visit,29975,
Preoperative Geriatric Ventilation Support,per_hour,6875,
Preoperative Immunologic Endoscopic Procedure,per_procedure,151975,
Preoperative Oncology Consultation,per_visit,42125,
Preoperative Otolaryngologic Sterilisation Service,per_procedure,134725,
Preoperative Renal Wound Care,per_visit,40325,
Preoperative Vascular Diagnostic Imaging,per_procedure,396725,
Routine Cardiac Specimen Analysis,per_item,23350,
Routine Dermatologic Transfusion Service,per_unit_dispensed,5325,
Routine Gastrointestinal Transfusion Service,per_procedure,341525,
Routine Haematology Infusion Therapy,per_hour,10200,
Routine Immunologic Ward Bed Occupancy,per_night,215875,
Routine Infectious Critical Care Occupancy,per_night,58375,6
Routine Oncology Discharge Planning,per_visit,29050,
Routine Palliative Critical Care Occupancy,per_night,96975,
Routine Psychiatric Rehabilitation Programme,per_day,72500,
Routine Urologic Biopsy Procedure,per_procedure,226950,6
Specialist Dermatologic Transport Service,per_visit,43575,
Specialist Hepatic Physiotherapy Session,per_hour,5350,
Specialist Neurological Recovery Room Occupancy,per_hour,15400,
Specialist Otolaryngologic Pharmaceutical Dispensing,per_unit_dispensed,1425,
Specialist Otolaryngologic Theatre Time,per_hour,8025,
Specialist Paediatric Biopsy Procedure,per_procedure,257325,
Standard Endocrine Dialysis Session,per_visit,37600,8
Standard Endocrine Endoscopic Procedure,per_procedure,124450,
Standard Geriatric Nutritional Support,per_day,42475,
Standard Otolaryngologic Radiotherapy Fraction,per_item,25250,
Standard Paediatric Biopsy Procedure,per_item,16100,
Standard Psychiatric Endoscopic Procedure,per_procedure,242225,
Standard Pulmonary Dialysis Session,per_visit,43175,
Supervised Musculoskeletal Dialysis Session,per_visit,35150,
Supervised Otolaryngologic Sterilisation Service,per_item,24200,
Supervised Renal Isolation Room Occupancy,per_night,164500,
