service,unit_basis,rate_cents,daily_cap,amended_rate_cents,amendment_effective_date,available_from
Postoperative Neurological Diagnostic Imaging,per_test,53550,,,,2024-01-01
Postoperative Otolaryngologic Laboratory Panel,per_item,24475,,,,2024-01-01
Postoperative Otolaryngologic Rehabilitation Programme,per_day,147875,,,,2024-01-01
Postoperative Psychiatric Endoscopic Procedure,per_procedure,368575,,,,2024-01-01
Postoperative Pulmonary Consultation,per_visit,26750,,,,2024-01-01
Postoperative Rheumatologic Anaesthesia Administration,per_hour,8725,,,,2024-01-01
Preoperative Cardiac Discharge Planning,per_hour,5675,,,,2024-01-01
Preoperative Dermatologic Dialysis Session,per_procedure,439850,,,,2024-01-01
Preoperative Endocrine Dialysis Session,per_procedure,400300,,,,2024-01-01
Preoperative Gastrointestinal Radiotherapy Fraction,per_item,26025,,,,2024-01-01
Preoperative Ophthalmic Imaging Interpretation,per_test,23275,,,,2024-01-01
Preoperative Paediatric Laboratory Panel,per_test,44500,,,,2024-01-01
Preoperative Psychiatric Home Visit,per_visit,32825,,,,2024-01-01
Preoperative Psychiatric Radiotherapy Fraction,per_item,3450,4,,,2024-01-01
Preoperative Rheumatologic Transport Service,per_item,15075,,,,2024-01-01
Routine Endocrine Specimen Analysis,per_item,8725,,,,2024-01-01
Routine Obstetric Diagnostic Imaging,per_item,26375,,,,2024-01-01
Routine Psychiatric Consultation,per_procedure,282975,8,,,2024-01-01
Routine Vascular Rehabilitation Programme,per_visit,37575,,,,2024-01-01
Specialist Dermatologic Infusion Therapy,per_hour,17400,,,,2024-01-01
Specialist Gastrointestinal Specimen Analysis,per_test,52850,,,,2024-01-01
Specialist Haematology Endoscopic Procedure,per_procedure,101900,,,,2024-01-01
Specialist Hepatic Case Conference,per_visit,35275,,,,2024-01-01
Specialist Obstetric Dialysis Session,per_procedure,62925,,,,2024-01-01
Specialist Ophthalmic Nutritional Support,per_day,32475,,,,2024-01-01
Specialist Paediatric Biopsy Procedure,per_item,14225,,,,2024-01-01
Specialist Psychiatric Discharge Planning,per_visit,38650,,44050,2025-01-01,2024-01-01
Specialist Pulmonary Biopsy Procedure,per_procedure,385550,,,,2024-01-01
Specialist Pulmonary Physiotherapy Session,per_hour,12500,,,,2024-01-01
Standard Orthopaedic Theatre Time,per_hour,6025,,,,2024-01-01
Standard Otolaryngologic Discharge Planning,per_visit,30600,,,,2024-01-01
Standard Rheumatologic Imaging Interpretation,per_procedure,383550,,,,2024-01-01
Supervised Hepatic Sterilisation Service,per_item,26625,,,,2024-01-01
Supervised Neurological Laboratory Panel,per_item,23125,,,,2024-01-01
Supervised Ophthalmic Nutritional Support,per_unit_dispensed,5950,,,,2024-01-01
Supervised Otolaryngologic Wound Care,per_item,24025,,,,2024-01-01
Advanced Dermatologic Nutritional Support,per_day,86525,,,,2025-01-01
Elective Pulmonary Imaging Interpretation,per_procedure,456000,,,,2025-01-01
